PubmedID,Title,PublicationDate,Non-academicAuthor(s),CompanyAffiliation(s),CorrespondingAuthorEmail
39755998,"Comprehensive histopathological analysis of gastric cancer in European and Latin America populations reveals differences in PDL1, HER2, p53 and MUC6 expression.",2025 Jan 5,"Martínez-Ciarpaglini C, Barros R, Caballero C, Boggino H, Alarcón-Molero L, Peleteiro B, Ruiz-García E, Fernandez-Figueroa E, Herrera-Goepfert R, Díaz-Romero C, Ferreira R, Groen-van Schooten TS, Gauna C, Pereira R, Cantero D, Lezcano H, Esteso F, O Connor J, Riquelme A, Owen GI, Garrido M, Roa JC, Ruiz-Pace F, Vivancos A, Diez-García M, Alsina M, Matito J, Martin A, Gómez M, Castillo E, Vila M, Santos-Antunes J, Costa A, Lordick F, Farrés J, Palomar-De Lucas B, Cabeza-Segura M, Villagrasa R, Jimenez-Martí E, Miralles-Marco A, Dienstmann R, Derks S, Figueiredo C, Cervantes A, Carneiro F, Fleitas-Kanonnikoff T",,
39755992,Characterization of stem cell landscape and identification of stemness-relevant prognostic gene signature to aid immunotherapy in breast cancer.,2025 Jan 5,"Yang X, Yang X, Tang H, Chen X, Wang J, Zhao H",,
39755988,Frequency of somatic and germline variants of predisposition genes in young Chinese women with breast cancer.,2025 Jan 5,"Xu Y, Cai Q, Li J, Guo W, Chen L, Chen M, Lin Y, Wang Y, Cai W, Qiu Y, He P, Liu S, Wang C, Fu F",,
39755983,Aggressive Subtypes of Laryngeal Chondrosarcoma and their Clinical Behavior: A Systematic Review.,2025 Jan 5,"Piazza C, Montenegro C, Tomasoni M, Leivo I, Stenman G, Agaimy A, Simpson RHW, Zidar N, Ferlito A",,
39755982,"The Stockholm early detection of cancer study (STEADY-CAN): rationale, design, data collection, and baseline characteristics for 2.7 million participants.",2025 Jan 5,"Nemlander E, Abedi E, Ljungman P, Hasselström J, Carlsson AC, Rosenblad A",,
39755981,"More micrometastases, more recurrence? The role of qPCR of PSA mRNA in lymph nodes during prostatectomy.",2025 Jan 5,"Troidl J, Fehr A, Jandrig B, Köllermann J, Lux A, Baumunk D, Gür M, Liehr UB, Porsch M, Wendler JJ, Blaschke S, Schostak M",,
39755887,ASO Visual Abstract: Defining and Predicting Early Recurrence for Optimal Treatment Strategies in Intraductal Papillary Mucinous Neoplasm-Derived Pancreatic Cancer--An International Multicenter Study.,2025 Jan 4,"Habib JR, Javed AA, Rompen IF, Salinas CH, Sorrentino A, Campbell BA, Andel PCM, Groot VP, Lafaro KJ, Sacks GD, Billeter AT, Molenaar IQ, Müller-Stich BP, Besselink MG, He J, Wolfgang CL, Daamen LA",,
39755880,The sarcoma ring trial: a case-based analysis of inter-center agreement across 21 German-speaking sarcoma centers.,2025 Jan 4,"Roohani S, Handtke J, Hummedah K, Albertsmeier M, Andreou D, Apostolidis L, Augustin M, Bauer S, Billner M, Bösch F, Deinzer CKW, Deventer N, Duprée A, Eckert F, Engel L, Fechner K, Fritzsche H, Gaidzik V, Ghani S, Grützmann R, Guder WK, Hamacher R, Hecker JS, Hendricks A, Hillmann A, Houben P, Hübner G, Ivanyi P, Jentsch C, Jordan M, Kappl P, Kaths M, Kessler T, Kirchberg J, Knebel C, Krempien R, Lehner B, Lenze U, Lindner LH, Lörsch AM, Maguire N, Müller S, Piso P, Potkrajcic V, Reichardt P, Richter S, Schewe S, Schiffmann LM, Scholten F, Striefler JK, Schwarzbach M, Seidensaal K, Semrau S, Szkandera J, Szuszies CJ, Timmermann B, Tuscherer A, Wiegering A, Winkelmann MT, Kaul D, Jakob J",,
39755870,"Circular RNAs in cancer: roles, mechanisms, and therapeutic potential across colorectal, gastric, liver, and lung carcinomas.",2025 Jan 4,"Malviya A, Bhuyan R",,
39755866,Inflammatory markers predict efficacy of immunotherapy in advanced non-small cell lung cancer: a preliminary exploratory study.,2025 Jan 4,"Zhang Y, Yan N, Feng Y, Wu Y, Sun Y, Gao X, Gu C, Ma X, Gao F, Zhang H, Zhou J",,
39755858,"Lymph-node ratio as a risk factor for recurrence following neoadjuvant docetaxel, cisplatin, and 5-fluorouracil therapy for locally advanced esophageal squamous cell carcinoma.",2025 Jan 4,"Tamba M, Okamura A, Osumi H, Imamura Y, Kanamori J, Ogura M, Fukuoka S, Yoshino K, Udagawa S, Wakatsuki T, Shinozaki E, Watanabe M, Yamaguchi K, Chin K, Ooki A",,
39755852,Effectiveness of a protocol with antimicrobial photodynamic therapy for treating osteoradionecrosis: a retrospective study.,2025 Jan 4,"Ferigatto JL, Coracin FL, Tanimoto HM, Viola VP, Tieghi-Neto V, Prado DD, Hirai WY, Teodoro VA, Vazquez FL, Rios SHK",,
39755841,A word of caution in the functional monitoring of patients after rectal cancer surgery: a multicentre observational study.,2025 Jan 4,"Planellas P, Fernandes-Montes N, Golda T, Alonso-Gonçalves S, Elorza G, Gil J, Kreisler E, Abad-Camacho MR, Cornejo L, Marinello F",,
39755832,"Berberine restrains non-small cell lung cancer cell growth, invasion and glycolysis via inactivating the SPC25/NUF2 pathway.",2025 Jan 4,"Lv M, Chen X, Yang Q, Huang C, Lv Y, Zhang T, Cai J",,
39755820,"The incidence of and risk factors for axillary web syndrome with limited shoulder movement after surgery for breast cancer, and the effect of early physical therapy intervention.",2025 Jan 4,"Chou YH, Liao SF, Chen DR, Chen ST, Wang WT",,
39755818,Cyclin E1/CDK2 activation defines a key vulnerability to WEE1 kinase inhibition in gynecological cancers.,2025 Jan 4,"Kim D, Chung H, Liu W, Jeong K, Ozmen TY, Ozmen F, Rames MJ, Kim S, Guo X, Jameson N, de Jong PR, Yea S, Harford L, Li J, Mathews CA, Doroshow DB, Charles VJ, Kim D, Fischer K, Samatar AA, Jubb A, Bunker KD, Blackwell K, Simpkins F, Meric-Bernstam F, Mills GB, Harismendy O, Ma J, Lackner MR",,
39755760,Cytokine dynamics and quality of life: unraveling the impact of cell-free and concentrated ascites reinfusion therapy in ovarian cancer patients.,2025 Jan 4,"Ito R, Kagabu M, Sato S, Takatori E, Kaido Y, Nagasawa T, Shoji T, Hirayama T, Terao Y, Baba T",,
39755729,Glycosylation gene expression profiles enable prognosis prediction for colorectal cancer.,2025 Jan 4,"Li R, He S, Qin T, Ma Y, Xu K, Liu S, Zhan W",,
39755726,Unsupervised self-organising map classification of Raman spectra from prostate cell lines uncovers substratified prostate cancer disease states.,2025 Jan 4,"West D, Stepney S, Hancock Y",,
39755716,"Cardiorespiratory fitness, cardiac morphology and function, and cardiovascular risk factors in long-term breast cancer survivors compared with non-cancer controls.",2025 Jan 4,"Sæter M, Johansen SH, Reinertsen KV, Thorsen L, Haugaa KH, Nilsen TS, Sarvari SI",,
